employee_id,title,from_date,to_date
10947,Senior Staff,2001-11-15,9999-01-01
10947,Staff,1995-11-16,2001-11-15
10948,Senior Engineer,1996-09-30,1997-06-23
10950,Senior Engineer,1996-06-08,1998-01-13
10959,Staff,1994-03-01,1996-04-12
10970,Engineer,1995-11-14,9999-01-01
10987,Engineer,1997-05-21,9999-01-01
10995,Senior Staff,1997-07-19,9999-01-01
10997,Technique Leader,2000-01-04,9999-01-01
10999,Technique Leader,1996-03-05,1997-04-19
11002,Senior Staff,1998-11-21,2001-12-07
11013,Engineer,1999-12-03,9999-01-01
11014,Senior Staff,1994-08-23,9999-01-01
11024,Staff,1995-04-05,2001-05-18
11046,Senior Staff,2002-01-21,9999-01-01
11046,Staff,1994-01-21,2002-01-21
11047,Staff,1995-08-14,9999-01-01
11049,Senior Staff,2000-05-11,9999-01-01
11049,Staff,1995-05-12,2000-05-11
11055,Staff,1998-03-08,9999-01-01
11057,Staff,1996-07-12,9999-01-01
11063,Staff,1996-01-09,9999-01-01
11066,Senior Staff,1996-04-30,9999-01-01
11075,Senior Engineer,1998-05-06,9999-01-01
11077,Senior Staff,1998-04-30,1998-10-11
11087,Senior Engineer,1998-03-18,9999-01-01
11089,Senior Staff,1994-08-13,9999-01-01
11095,Staff,1997-02-14,9999-01-01
11107,Engineer,1999-09-09,9999-01-01
11111,Assistant Engineer,1994-12-25,9999-01-01
11115,Senior Engineer,1999-01-13,9999-01-01
11117,Engineer,1994-08-22,9999-01-01
11119,Engineer,1994-06-21,1995-10-23
11132,Engineer,1994-08-30,1999-08-30
11132,Senior Engineer,1999-08-30,9999-01-01
11143,Engineer,1996-05-09,9999-01-01
11156,Staff,1995-09-07,1998-07-31
11158,Engineer,1996-04-20,2002-04-20
11158,Senior Engineer,2002-04-20,9999-01-01
11165,Senior Engineer,1995-04-30,9999-01-01
11168,Senior Staff,2001-07-15,9999-01-01
11168,Staff,1996-07-15,2001-07-15
11174,Engineer,1999-06-07,9999-01-01
11177,Senior Engineer,1999-09-11,9999-01-01
11185,Senior Staff,2000-01-26,9999-01-01
11185,Staff,1995-01-26,2000-01-26
11186,Engineer,1994-12-10,2000-12-09
11186,Senior Engineer,2000-12-09,9999-01-01
11201,Staff,1995-10-31,9999-01-01
11209,Engineer,1999-04-25,9999-01-01
11213,Technique Leader,1999-02-04,9999-01-01
11218,Technique Leader,1994-04-06,2002-04-19
11236,Engineer,1995-03-23,2002-03-23
11236,Senior Engineer,2002-03-23,9999-01-01
11241,Staff,1999-01-27,2002-02-27
11243,Assistant Engineer,2000-01-20,9999-01-01
11245,Senior Engineer,1994-11-25,9999-01-01
11248,Staff,1997-02-03,1999-07-19
11254,Staff,1998-12-19,9999-01-01
11262,Senior Staff,2002-04-30,9999-01-01
11262,Staff,1994-04-30,2002-04-30
11266,Engineer,1997-05-12,2002-05-12
11266,Senior Engineer,2002-05-12,9999-01-01
11285,Staff,1999-11-23,9999-01-01
11306,Senior Staff,1996-11-20,9999-01-01
11309,Staff,1999-01-26,9999-01-01
11311,Senior Staff,1994-12-15,9999-01-01
11312,Engineer,1994-01-23,9999-01-01
11315,Staff,2000-01-18,2002-01-17
11316,Assistant Engineer,1997-07-18,9999-01-01
11321,Senior Engineer,1996-04-05,9999-01-01
11323,Engineer,1995-02-13,1997-05-20
11325,Engineer,1999-01-10,9999-01-01
11336,Engineer,1998-09-01,2001-04-14
11337,Staff,1998-02-21,2002-05-11
11342,Staff,1998-02-03,2000-03-19
11351,Engineer,1998-11-20,2000-01-30
11374,Engineer,1997-07-19,9999-01-01
11379,Assistant Engineer,1994-06-24,9999-01-01
11384,Senior Staff,2001-06-03,9999-01-01
11384,Staff,1994-06-03,2001-06-03
11387,Engineer,1997-05-11,1997-12-13
11391,Engineer,1994-10-14,9999-01-01
11392,Staff,1999-04-21,9999-01-01
11396,Engineer,1997-02-04,9999-01-01
11401,Staff,1995-04-15,9999-01-01
11408,Staff,1996-02-15,9999-01-01
11409,Staff,1997-12-28,1999-08-04
11410,Engineer,1999-10-25,9999-01-01
11419,Senior Engineer,1996-04-13,1998-06-28
11427,Senior Staff,1999-02-25,9999-01-01
11427,Staff,1994-02-25,1999-02-25
11428,Engineer,1994-07-31,1998-07-04
11430,Staff,1997-07-06,9999-01-01
11436,Staff,1999-01-14,1999-11-22
11438,Technique Leader,1997-08-30,9999-01-01
11439,Engineer,1997-05-23,9999-01-01
11445,Senior Engineer,1997-06-11,2001-02-23
11448,Technique Leader,1995-08-26,9999-01-01
11455,Engineer,1994-08-14,1998-09-13
11456,Engineer,1999-03-20,9999-01-01
11468,Staff,1996-03-19,1997-04-07
11475,Staff,1998-09-14,9999-01-01
11476,Staff,1994-01-15,9999-01-01
11479,Staff,1999-02-10,9999-01-01
11484,Staff,1999-10-06,1999-10-22
11492,Engineer,1994-05-22,2000-05-21
11492,Senior Engineer,2000-05-21,9999-01-01
11493,Staff,1995-07-22,2000-11-13
11498,Senior Engineer,1994-01-19,2000-02-25
11507,Engineer,1999-09-26,9999-01-01
11510,Staff,1998-12-29,2001-04-01
11521,Staff,1995-10-17,2000-06-08
11550,Engineer,1997-12-16,9999-01-01
11557,Staff,1998-12-17,2001-09-28
11558,Technique Leader,1996-09-18,9999-01-01
11585,Engineer,1994-10-13,9999-01-01
11586,Staff,1997-09-09,9999-01-01
11589,Engineer,1994-05-06,2001-05-06
11589,Senior Engineer,2001-05-06,9999-01-01
11590,Engineer,1997-06-26,9999-01-01
11598,Engineer,1994-04-02,2002-04-02
11598,Senior Engineer,2002-04-02,9999-01-01
11606,Senior Staff,1999-09-27,9999-01-01
11606,Staff,1994-09-27,1999-09-27
11630,Staff,1999-06-03,1999-08-24
11634,Engineer,2000-01-01,9999-01-01
11643,Senior Staff,1999-08-01,2001-01-03
11650,Senior Staff,1996-12-05,1999-04-01
11661,Engineer,1995-08-24,9999-01-01
11688,Staff,1994-10-29,9999-01-01
11690,Staff,1997-09-23,9999-01-01
11697,Technique Leader,1999-12-10,9999-01-01
11699,Technique Leader,1994-01-20,9999-01-01
11706,Staff,1999-03-24,9999-01-01
11713,Engineer,1994-10-04,2000-10-03
11713,Senior Engineer,2000-10-03,9999-01-01
11718,Staff,1998-01-01,9999-01-01
11722,Engineer,1997-12-18,9999-01-01
11730,Staff,1997-11-13,9999-01-01
11731,Senior Staff,1996-12-18,9999-01-01
11737,Assistant Engineer,1995-07-11,9999-01-01
11742,Senior Staff,1996-04-12,9999-01-01
11743,Engineer,1999-06-18,9999-01-01
11754,Staff,1999-11-06,9999-01-01
11756,Engineer,1999-11-26,9999-01-01
11763,Engineer,1997-04-18,9999-01-01
11774,Engineer,1998-11-26,9999-01-01
11783,Engineer,1994-07-14,2001-07-14
11783,Senior Engineer,2001-07-14,9999-01-01
11784,Engineer,1995-12-07,1997-10-28
11786,Staff,1996-02-28,9999-01-01
11791,Senior Engineer,1994-11-15,9999-01-01
11793,Engineer,1996-06-06,2000-04-22
11806,Engineer,1996-04-02,9999-01-01
11821,Senior Engineer,1995-12-13,2001-10-26
11823,Senior Engineer,1995-10-23,9999-01-01
11829,Assistant Engineer,1999-10-11,9999-01-01
11847,Senior Engineer,1996-01-13,1999-05-23
11865,Staff,1998-02-07,1998-05-04
11869,Engineer,1996-08-12,9999-01-01
11873,Staff,1998-11-14,9999-01-01
11874,Senior Staff,2001-06-10,9999-01-01
11874,Staff,1996-06-10,2001-06-10
11877,Senior Staff,1995-09-17,1999-06-09
11884,Senior Staff,1998-06-18,9999-01-01
11886,Senior Engineer,1994-10-02,9999-01-01
11887,Assistant Engineer,1998-03-31,9999-01-01
11888,Senior Staff,1999-11-28,9999-01-01
11888,Staff,1994-11-28,1999-11-28
11889,Senior Engineer,1996-12-25,9999-01-01
11893,Senior Engineer,1999-10-02,9999-01-01
11899,Engineer,1996-01-19,9999-01-01
11917,Engineer,1997-03-08,9999-01-01
11923,Staff,1994-09-28,9999-01-01
11925,Staff,1998-10-25,9999-01-01
11926,Engineer,1998-09-18,9999-01-01
11935,Staff,1997-07-20,2000-08-22
11937,Staff,1996-04-19,9999-01-01
11938,Staff,1994-07-15,9999-01-01
11940,Assistant Engineer,1996-11-02,9999-01-01
11947,Staff,1995-10-24,9999-01-01
11952,Engineer,1995-12-19,9999-01-01
11961,Senior Staff,1997-06-26,9999-01-01
11964,Senior Staff,1998-03-19,1999-06-13
11969,Staff,1998-04-15,9999-01-01
11979,Staff,1998-06-07,9999-01-01
11996,Senior Engineer,1994-01-21,9999-01-01
11997,Staff,1999-02-21,1999-08-06
12002,Staff,1994-10-14,1997-09-26
12009,Assistant Engineer,1998-09-22,9999-01-01
12015,Staff,1999-11-16,9999-01-01
12023,Technique Leader,1994-12-08,9999-01-01
12024,Staff,1997-11-03,9999-01-01
12030,Staff,1996-06-24,9999-01-01
12040,Senior Staff,1998-09-28,9999-01-01
12042,Senior Engineer,1995-05-19,1996-07-31
12046,Staff,1996-01-13,1998-09-26
12054,Staff,1999-08-06,9999-01-01
12060,Technique Leader,1996-06-21,9999-01-01
12063,Engineer,1994-07-24,2002-07-24
12063,Senior Engineer,2002-07-24,9999-01-01
12074,Engineer,1994-09-07,9999-01-01
12077,Engineer,1994-01-30,1999-01-30
12077,Senior Engineer,1999-01-30,2000-08-18
12084,Engineer,1997-01-01,2002-01-01
12084,Senior Engineer,2002-01-01,9999-01-01
12090,Engineer,1999-10-03,9999-01-01
12093,Engineer,1994-01-19,1999-01-19
12093,Senior Engineer,1999-01-19,9999-01-01
12096,Senior Staff,1994-08-17,9999-01-01
12104,Senior Engineer,1997-06-12,2002-02-08
12106,Staff,1995-10-24,9999-01-01
12110,Engineer,1997-04-12,2002-05-22
12117,Senior Engineer,1999-02-01,2002-06-23
12132,Engineer,1996-11-09,2001-11-09
12132,Senior Engineer,2001-11-09,9999-01-01
12140,Senior Staff,1996-11-15,9999-01-01
12143,Engineer,1996-01-06,2002-01-05
12143,Senior Engineer,2002-01-05,9999-01-01
12148,Assistant Engineer,1997-06-24,1997-11-21
12156,Senior Staff,1997-06-02,1997-08-11
12158,Engineer,1999-02-17,9999-01-01
12164,Engineer,1996-05-14,9999-01-01
12174,Senior Engineer,1996-01-09,9999-01-01
12175,Staff,1994-09-01,9999-01-01
12176,Engineer,1994-07-05,1999-07-05
12176,Senior Engineer,1999-07-05,9999-01-01
12178,Staff,1995-04-26,9999-01-01
12179,Engineer,1994-02-12,9999-01-01
12187,Staff,1998-09-22,9999-01-01
12188,Senior Engineer,1997-03-20,9999-01-01
12190,Senior Engineer,1997-12-13,9999-01-01
12191,Engineer,1998-11-22,9999-01-01
12196,Engineer,1999-08-22,9999-01-01
12200,Technique Leader,1999-03-08,9999-01-01
12202,Staff,1997-12-21,9999-01-01
12219,Senior Staff,1995-06-13,9999-01-01
12226,Engineer,1997-02-07,9999-01-01
12230,Engineer,1997-04-13,9999-01-01
12235,Staff,1997-07-10,9999-01-01
12239,Staff,1999-11-20,9999-01-01
12242,Assistant Engineer,1994-11-12,2000-11-11
12242,Engineer,2000-11-11,9999-01-01
12259,Staff,1998-05-26,9999-01-01
12269,Engineer,1994-07-06,2000-07-05
12269,Senior Engineer,2000-07-05,9999-01-01
12282,Engineer,1999-10-06,9999-01-01
12287,Engineer,1994-12-25,9999-01-01
12299,Engineer,1999-01-24,9999-01-01
12309,Engineer,1995-10-10,9999-01-01
12317,Staff,1996-08-11,9999-01-01
12321,Staff,1999-04-03,9999-01-01
12322,Engineer,1996-11-06,2001-11-06
12322,Senior Engineer,2001-11-06,9999-01-01
12323,Staff,1996-10-24,9999-01-01
12326,Engineer,1998-09-13,9999-01-01
12339,Staff,1996-07-18,9999-01-01
12351,Engineer,1997-08-26,1999-02-16
12353,Engineer,1994-11-20,9999-01-01
12364,Assistant Engineer,1998-11-02,9999-01-01
12366,Staff,1994-07-16,2000-01-20
12370,Technique Leader,1994-01-29,9999-01-01
12379,Technique Leader,1996-06-02,9999-01-01
12389,Staff,1999-11-02,9999-01-01
12390,Staff,1997-07-09,9999-01-01
12394,Engineer,1998-09-26,9999-01-01
12400,Staff,1999-02-28,9999-01-01
12402,Staff,1997-12-05,9999-01-01
12408,Senior Engineer,1995-04-18,9999-01-01
12409,Engineer,1995-01-21,9999-01-01
12412,Staff,1998-12-20,2000-11-19
12418,Staff,1996-05-08,9999-01-01
12424,Technique Leader,1994-05-24,9999-01-01
12426,Technique Leader,1999-05-17,9999-01-01
12434,Engineer,1994-09-11,9999-01-01
12436,Assistant Engineer,1998-08-27,9999-01-01
12440,Engineer,1996-08-14,1999-07-30
12452,Engineer,1997-09-28,9999-01-01
12455,Engineer,1997-04-06,9999-01-01
12456,Technique Leader,1996-06-20,9999-01-01
12466,Senior Staff,1994-02-19,9999-01-01
12467,Technique Leader,1994-10-06,9999-01-01
12474,Assistant Engineer,1998-11-27,9999-01-01
12479,Engineer,1997-05-25,9999-01-01
12484,Senior Engineer,1995-06-23,9999-01-01
12494,Senior Staff,1998-08-02,9999-01-01
12495,Staff,1999-12-13,9999-01-01
12500,Engineer,1997-05-11,9999-01-01
12522,Technique Leader,1999-01-28,9999-01-01
12524,Engineer,1996-12-19,9999-01-01
12527,Senior Staff,2002-03-12,9999-01-01
12527,Staff,1994-03-12,2002-03-12
12540,Senior Staff,1998-11-28,9999-01-01
12543,Senior Engineer,1994-12-05,9999-01-01
12549,Staff,1998-09-15,9999-01-01
12550,Senior Engineer,1999-05-14,9999-01-01
12555,Assistant Engineer,1995-07-23,9999-01-01
12562,Senior Staff,2002-06-24,9999-01-01
12562,Staff,1997-06-24,2002-06-24
12568,Engineer,1997-04-15,2001-08-12
12571,Assistant Engineer,1997-04-23,2002-04-23
12571,Engineer,2002-04-23,9999-01-01
12577,Engineer,1999-11-07,9999-01-01
12583,Staff,1996-08-27,9999-01-01
12584,Engineer,1995-12-06,9999-01-01
12588,Engineer,1997-02-08,2002-02-08
12588,Senior Engineer,2002-02-08,9999-01-01
12591,Staff,1997-10-15,9999-01-01
12598,Senior Staff,2001-10-28,9999-01-01
12598,Staff,1996-10-28,2001-10-28
12599,Engineer,1994-03-28,1995-01-25
12603,Staff,1997-06-10,9999-01-01
12606,Staff,1997-09-17,1999-08-28
12611,Staff,2000-01-07,9999-01-01
12613,Technique Leader,1995-01-29,9999-01-01
12614,Staff,1997-06-05,1998-03-10
12618,Senior Staff,1999-06-03,9999-01-01
12618,Staff,1994-06-03,1999-06-03
12639,Engineer,1994-05-21,2002-05-21
12639,Senior Engineer,2002-05-21,9999-01-01
12643,Staff,1998-12-31,9999-01-01
12648,Assistant Engineer,1997-10-29,9999-01-01
12652,Assistant Engineer,1994-05-15,2000-05-14
12652,Engineer,2000-05-14,9999-01-01
12656,Senior Staff,2001-06-27,9999-01-01
12656,Staff,1994-06-27,2001-06-27
12657,Assistant Engineer,1995-06-30,2001-06-29
12657,Engineer,2001-06-29,9999-01-01
12659,Staff,1997-03-23,9999-01-01
12665,Staff,1995-06-01,1997-12-14
12666,Engineer,1998-04-19,9999-01-01
12670,Engineer,1999-09-10,9999-01-01
12672,Senior Engineer,1998-04-02,9999-01-01
12673,Staff,1997-04-22,9999-01-01
12674,Staff,1999-01-08,1999-04-01
12676,Engineer,1998-04-28,9999-01-01
12685,Staff,1996-11-02,9999-01-01
12687,Staff,1998-04-12,9999-01-01
12702,Senior Staff,1996-10-02,9999-01-01
12704,Senior Staff,2000-07-15,9999-01-01
12704,Staff,1994-07-16,2000-07-15
12706,Senior Staff,2000-05-07,9999-01-01
12706,Staff,1994-05-08,2000-05-07
12708,Senior Staff,2000-07-29,9999-01-01
12708,Staff,1994-07-30,2000-07-29
12712,Engineer,1998-05-11,9999-01-01
12716,Senior Staff,1998-01-24,1999-07-08
12719,Engineer,1996-11-05,9999-01-01
12720,Staff,1995-11-03,9999-01-01
12721,Engineer,1994-08-20,2000-12-19
12725,Senior Staff,1999-05-28,9999-01-01
12725,Staff,1994-05-28,1999-05-28
12733,Assistant Engineer,1994-04-01,2002-04-01
12733,Engineer,2002-04-01,9999-01-01
12740,Staff,1998-05-15,9999-01-01
12747,Technique Leader,1994-05-23,9999-01-01
12748,Engineer,1998-12-13,9999-01-01
12749,Senior Engineer,1995-05-23,9999-01-01
12751,Engineer,1995-01-09,1998-09-17
12756,Staff,1998-08-12,9999-01-01
12761,Senior Staff,2002-05-06,9999-01-01
12761,Staff,1996-05-06,2002-05-06
12769,Engineer,1994-09-02,9999-01-01
12774,Engineer,1997-08-02,9999-01-01
12777,Senior Staff,1999-08-20,9999-01-01
12777,Staff,1994-08-20,1999-08-20
12786,Engineer,1999-12-08,9999-01-01
12788,Assistant Engineer,1999-10-15,9999-01-01
12789,Engineer,1996-09-24,9999-01-01
12791,Engineer,1995-11-29,9999-01-01
12799,Senior Staff,1993-12-25,9999-01-01
12800,Staff,1997-10-08,9999-01-01
12808,Engineer,1998-03-16,9999-01-01
12814,Technique Leader,1998-06-07,1998-11-24
12821,Engineer,1997-05-04,9999-01-01
12829,Engineer,1995-07-06,2000-07-05
12829,Senior Engineer,2000-07-05,9999-01-01
12834,Senior Staff,1995-01-14,9999-01-01
12836,Technique Leader,1996-03-27,1997-07-10
12837,Staff,1997-03-21,9999-01-01
12857,Senior Engineer,1995-07-05,9999-01-01
12859,Senior Staff,2002-05-17,9999-01-01
12859,Staff,1994-05-17,2002-05-17
12865,Senior Staff,1994-02-14,9999-01-01
12869,Staff,1999-01-02,9999-01-01
12878,Engineer,1997-08-27,9999-01-01
12880,Staff,1996-11-06,1999-06-02
12881,Staff,1999-08-25,9999-01-01
12887,Engineer,1994-09-19,2001-09-19
12887,Senior Engineer,2001-09-19,9999-01-01
12889,Engineer,1999-04-28,9999-01-01
12901,Staff,1997-05-09,9999-01-01
12902,Staff,1996-06-12,1998-12-11
12921,Senior Staff,2002-05-31,9999-01-01
12921,Staff,1997-05-31,2002-05-31
12945,Engineer,1997-10-15,9999-01-01
12946,Staff,1998-10-07,1999-02-25
12959,Staff,1995-07-15,9999-01-01
12960,Engineer,1994-08-19,9999-01-01
13000,Engineer,1997-07-05,9999-01-01
13008,Engineer,2000-01-07,9999-01-01
13009,Engineer,1997-01-23,9999-01-01
13023,Engineer,1995-09-06,1996-05-16
13036,Staff,1998-04-23,9999-01-01
13045,Engineer,1999-11-04,9999-01-01
13048,Senior Engineer,1996-11-14,9999-01-01
13051,Engineer,1993-12-11,1999-12-11
13051,Senior Engineer,1999-12-11,9999-01-01
13064,Assistant Engineer,1997-01-21,9999-01-01
13066,Senior Engineer,1997-09-07,2001-09-12
13079,Engineer,1993-12-23,1995-02-24
13080,Engineer,1994-11-16,9999-01-01
13083,Staff,1995-04-10,9999-01-01
13084,Senior Staff,2002-03-02,9999-01-01
13084,Staff,1995-03-02,2002-03-02
13091,Engineer,1994-04-09,2001-04-09
13091,Senior Engineer,2001-04-09,9999-01-01
13093,Staff,1999-09-18,9999-01-01
13097,Engineer,1996-01-22,9999-01-01
13111,Engineer,1997-08-10,9999-01-01
13115,Senior Staff,2001-08-20,9999-01-01
13115,Staff,1995-08-21,2001-08-20
13131,Staff,1996-06-24,9999-01-01
13132,Assistant Engineer,1994-01-18,9999-01-01
13135,Technique Leader,1995-05-26,9999-01-01
13136,Engineer,1998-10-19,9999-01-01
13137,Senior Engineer,1994-03-25,9999-01-01
13140,Staff,1999-05-30,9999-01-01
13153,Engineer,1995-10-05,9999-01-01
13155,Engineer,1998-03-19,9999-01-01
13159,Staff,1999-08-12,9999-01-01
13160,Engineer,1999-05-20,9999-01-01
13174,Assistant Engineer,1995-04-20,1998-12-02
