employee_id,department_id,from_date,to_date
13940,d009,1999-03-30,1999-03-31
13974,d009,1998-03-18,2001-04-26
13976,d004,1997-09-10,9999-01-01
13994,d007,1999-05-05,2000-07-15
14011,d005,1999-12-10,9999-01-01
14025,d002,1999-08-08,2001-08-07
14025,d007,2001-08-07,9999-01-01
14029,d009,1997-11-11,9999-01-01
14038,d005,1997-03-02,9999-01-01
14039,d005,1999-11-09,9999-01-01
14084,d005,1999-10-25,9999-01-01
14099,d005,1998-07-24,9999-01-01
14099,d009,1996-07-09,1998-07-24
14109,d004,1999-12-12,2000-01-01
14112,d001,1999-11-26,9999-01-01
14130,d001,1997-02-17,9999-01-01
14140,d002,1998-03-21,1998-07-25
14140,d003,1998-07-25,9999-01-01
14145,d004,2000-01-13,9999-01-01
14154,d008,1996-11-14,9999-01-01
14170,d001,1998-09-13,1999-04-22
14170,d009,1999-04-22,2001-04-16
14176,d007,1998-01-10,2000-08-25
14195,d005,1998-12-08,2001-10-08
14214,d004,1998-12-19,9999-01-01
14216,d005,1998-03-11,9999-01-01
14231,d004,1999-03-12,9999-01-01
14266,d005,1997-10-27,9999-01-01
14283,d001,1996-11-26,9999-01-01
14308,d004,1998-02-03,9999-01-01
14326,d005,1999-08-11,9999-01-01
14335,d005,1999-11-06,9999-01-01
14336,d001,1999-07-18,9999-01-01
14352,d004,1996-10-06,9999-01-01
14368,d004,1997-05-04,9999-01-01
14386,d005,1998-06-02,9999-01-01
14420,d004,1999-07-12,9999-01-01
14440,d005,1997-09-03,9999-01-01
14445,d003,1996-10-21,9999-01-01
14452,d008,1999-04-18,9999-01-01
14470,d004,1997-11-26,9999-01-01
14475,d001,1997-03-31,1997-08-27
14517,d005,1997-04-07,9999-01-01
14526,d002,1997-06-20,9999-01-01
14564,d003,1998-12-04,9999-01-01
14576,d004,1998-07-14,2000-03-15
14576,d006,1998-02-14,1998-07-14
14584,d004,1999-01-18,9999-01-01
14597,d007,1999-05-20,9999-01-01
14619,d004,1997-05-10,9999-01-01
14625,d005,1997-03-06,9999-01-01
14646,d005,1997-04-11,9999-01-01
14657,d007,1998-09-28,9999-01-01
14658,d007,1999-09-18,9999-01-01
14663,d004,1997-01-08,9999-01-01
14681,d005,1999-12-22,9999-01-01
14696,d004,1997-05-01,9999-01-01
14715,d007,1998-05-22,9999-01-01
14737,d007,1999-10-15,9999-01-01
14749,d005,2001-08-11,9999-01-01
14749,d006,1999-12-13,2001-08-11
14755,d003,1997-07-07,9999-01-01
14758,d007,1998-04-06,9999-01-01
14772,d005,1998-08-26,2001-12-06
14777,d004,1998-11-07,9999-01-01
14806,d005,1998-09-30,1999-05-09
14806,d008,1999-05-09,2000-01-23
14809,d004,1996-10-24,9999-01-01
14832,d009,1998-06-23,9999-01-01
14848,d005,1997-05-27,9999-01-01
14901,d005,1999-02-05,2000-11-25
14916,d001,2000-07-15,9999-01-01
14916,d003,1999-04-01,2000-07-15
14957,d007,2000-01-18,2001-12-18
15004,d005,1997-07-24,9999-01-01
15007,d007,1998-08-22,9999-01-01
15095,d001,2001-05-30,9999-01-01
15095,d007,1997-12-22,2001-05-30
15103,d005,1999-03-19,9999-01-01
15124,d003,1999-09-26,9999-01-01
15137,d002,1997-05-02,1998-04-02
15148,d004,1996-09-30,1998-08-18
15169,d004,1999-09-10,9999-01-01
15184,d007,1998-10-18,9999-01-01
15187,d005,1997-06-13,2000-01-21
15200,d004,1998-06-09,2000-03-19
15308,d004,1998-09-12,9999-01-01
15347,d007,1997-03-25,9999-01-01
15368,d004,1999-05-18,9999-01-01
15390,d005,1999-01-16,9999-01-01
15426,d004,1999-09-30,9999-01-01
15436,d002,1999-01-27,9999-01-01
15439,d004,1999-10-31,2000-05-24
15439,d006,2000-05-24,2000-11-11
15445,d005,1996-12-30,2000-09-24
15450,d005,1999-06-14,2000-04-17
15500,d005,1997-10-29,9999-01-01
15517,d006,1997-03-21,9999-01-01
15535,d004,1997-05-26,9999-01-01
15557,d005,1998-01-23,9999-01-01
15567,d005,1998-09-02,9999-01-01
15572,d009,1998-03-08,9999-01-01
15593,d001,1996-09-01,9999-01-01
15596,d007,1999-11-15,2000-12-07
15630,d005,1999-03-28,1999-05-25
15650,d004,1997-11-16,9999-01-01
15653,d001,1999-11-07,2000-08-01
15675,d005,1998-12-14,2000-12-08
15702,d007,1997-07-25,1999-09-27
15704,d005,1996-07-29,9999-01-01
15713,d004,1998-12-06,2002-04-18
15734,d004,2002-01-30,9999-01-01
15734,d005,1996-12-24,2002-01-30
15737,d005,1999-06-07,9999-01-01
15743,d005,1998-06-22,9999-01-01
15756,d007,1998-03-31,9999-01-01
15813,d007,1997-06-01,1997-07-16
15844,d005,1997-08-13,9999-01-01
15884,d009,1996-10-17,9999-01-01
15910,d009,1996-11-29,9999-01-01
15922,d007,1996-10-14,9999-01-01
15929,d001,1999-09-03,2001-01-31
15963,d003,1999-11-22,9999-01-01
15967,d007,1997-05-04,9999-01-01
15972,d004,1999-04-10,9999-01-01
15986,d002,1998-07-10,9999-01-01
16056,d005,1998-01-10,9999-01-01
16114,d004,1998-04-25,9999-01-01
16127,d004,1999-05-19,9999-01-01
16142,d004,2000-02-18,9999-01-01
16142,d008,1998-03-13,2000-02-18
16147,d008,1998-06-10,9999-01-01
16156,d007,1999-08-25,9999-01-01
16166,d002,1999-10-21,9999-01-01
16175,d007,2000-01-26,9999-01-01
16179,d004,1996-07-23,9999-01-01
16197,d004,1997-11-24,9999-01-01
16200,d003,1999-05-22,2000-03-22
16244,d005,2000-01-04,9999-01-01
16259,d001,1999-03-30,9999-01-01
16262,d007,1997-03-18,9999-01-01
16308,d002,1999-10-16,9999-01-01
16367,d007,1999-04-23,9999-01-01
16384,d006,1996-12-27,9999-01-01
16393,d008,1997-07-18,9999-01-01
16405,d004,1998-11-19,9999-01-01
16410,d004,1999-04-21,2000-02-25
16410,d006,1997-01-24,1999-04-21
16426,d004,1996-11-27,9999-01-01
16449,d005,1997-07-11,9999-01-01
16463,d008,2000-01-14,2002-02-03
16535,d004,1999-01-11,9999-01-01
16548,d004,1996-07-23,9999-01-01
16564,d007,1999-01-21,9999-01-01
16577,d004,1999-07-23,9999-01-01
16601,d004,1996-11-14,1999-10-17
16602,d001,1998-04-07,9999-01-01
16613,d007,1997-10-18,9999-01-01
16623,d005,2001-10-21,9999-01-01
16623,d009,1999-10-13,2001-10-21
16628,d005,1997-09-23,9999-01-01
16629,d006,2000-01-18,9999-01-01
16665,d001,1999-03-04,9999-01-01
16692,d005,1998-05-19,9999-01-01
16695,d009,1998-09-22,9999-01-01
16747,d004,1998-02-23,9999-01-01
16760,d001,1999-12-18,9999-01-01
16762,d009,1998-10-29,9999-01-01
16772,d007,1999-10-27,9999-01-01
16788,d007,1999-09-25,9999-01-01
16815,d004,1996-11-18,2002-03-27
16816,d005,1998-06-20,9999-01-01
16848,d001,1997-06-25,9999-01-01
16855,d007,1998-08-24,9999-01-01
16879,d009,1997-02-16,9999-01-01
16899,d001,1996-10-26,2001-03-16
16899,d009,2001-03-16,9999-01-01
16904,d005,1998-02-14,9999-01-01
16922,d005,1998-02-20,2001-09-24
16928,d007,1998-09-26,9999-01-01
16938,d004,1998-08-21,2001-09-09
16938,d009,2001-09-09,9999-01-01
16940,d004,1996-09-25,9999-01-01
16948,d004,1999-04-07,9999-01-01
16960,d007,1998-11-02,9999-01-01
16981,d005,1998-11-14,9999-01-01
17011,d007,1996-08-15,9999-01-01
17032,d005,1997-12-16,9999-01-01
17034,d005,1998-12-08,9999-01-01
17053,d005,1999-09-23,9999-01-01
17074,d003,1996-08-12,9999-01-01
17077,d007,1998-05-25,9999-01-01
17110,d004,1997-03-21,9999-01-01
17116,d004,1998-12-23,9999-01-01
17168,d004,1998-07-29,9999-01-01
17187,d005,1997-08-17,9999-01-01
17229,d009,1999-04-21,1999-10-24
17231,d004,2001-09-26,9999-01-01
17231,d006,1998-07-25,2001-09-26
17301,d006,1996-10-13,9999-01-01
17310,d004,1996-09-26,9999-01-01
17330,d004,1996-11-01,2002-06-23
17357,d005,1997-01-09,2002-03-08
17360,d006,1996-12-05,9999-01-01
17370,d007,2000-01-12,2002-02-01
17385,d004,1997-03-05,9999-01-01
17413,d005,1996-08-03,9999-01-01
17451,d002,1998-05-08,9999-01-01
17485,d001,1997-07-12,9999-01-01
17501,d005,1998-04-18,9999-01-01
17513,d007,1997-11-01,9999-01-01
17534,d007,1996-12-20,9999-01-01
17536,d007,1997-03-17,9999-01-01
17551,d004,1998-10-04,2000-08-27
17551,d009,2000-08-27,9999-01-01
17577,d001,1997-01-06,9999-01-01
17596,d004,1996-12-04,9999-01-01
17601,d004,1997-11-15,2000-05-30
17623,d005,1998-10-11,9999-01-01
17630,d005,1998-04-22,9999-01-01
17687,d007,1997-12-22,9999-01-01
17693,d004,1999-10-21,9999-01-01
17693,d005,1998-01-03,1999-10-21
17706,d007,1999-04-01,2001-07-03
17713,d006,1998-09-02,9999-01-01
17721,d001,1998-10-20,2001-04-09
17721,d009,2001-04-09,9999-01-01
17729,d005,1997-04-14,1999-01-08
17740,d005,1999-08-20,9999-01-01
17768,d004,1997-10-04,9999-01-01
17789,d005,1999-12-31,9999-01-01
17809,d005,1996-09-04,9999-01-01
17824,d006,1997-11-21,9999-01-01
17839,d005,1999-07-23,9999-01-01
17842,d004,1996-08-15,9999-01-01
17850,d006,1997-05-26,9999-01-01
17856,d005,1996-11-02,9999-01-01
17875,d006,1999-04-19,2000-03-02
17882,d008,1998-01-04,2001-05-07
17883,d005,1998-01-29,9999-01-01
17885,d004,1998-04-20,9999-01-01
17896,d005,1999-12-16,2002-04-13
17909,d007,1999-05-25,2001-09-04
17963,d007,1998-05-16,9999-01-01
17965,d008,1999-01-17,9999-01-01
17981,d001,2000-05-09,9999-01-01
17981,d007,1998-10-17,2000-05-09
18000,d002,1999-12-10,9999-01-01
18012,d007,1998-02-23,9999-01-01
18019,d007,1998-03-17,9999-01-01
18034,d004,1999-11-24,9999-01-01
18034,d008,1998-05-27,1999-11-24
18087,d006,1999-12-27,9999-01-01
18097,d005,1997-07-22,2002-05-27
18102,d005,1997-11-22,9999-01-01
18107,d005,1998-06-13,9999-01-01
18148,d005,1999-04-18,1999-09-11
18148,d008,1999-09-11,2000-08-24
18153,d004,1996-07-13,9999-01-01
18157,d004,2002-07-25,9999-01-01
18157,d005,1997-07-21,2002-07-25
18169,d001,1999-05-16,9999-01-01
18204,d005,1996-11-08,9999-01-01
18215,d004,1996-08-12,9999-01-01
18235,d008,1999-06-16,2001-05-21
18270,d007,1999-08-21,9999-01-01
18276,d004,1997-04-17,9999-01-01
18279,d008,1999-01-26,9999-01-01
18293,d004,1998-02-21,2001-03-22
18293,d009,2001-03-22,9999-01-01
18332,d005,2000-12-04,2001-04-11
18332,d008,1999-01-16,2000-12-04
18341,d006,1998-07-14,9999-01-01
18355,d002,1999-07-26,9999-01-01
18463,d001,1999-04-07,9999-01-01
18463,d007,1998-07-09,1999-04-07
18472,d004,1996-07-28,9999-01-01
18479,d007,1998-09-10,9999-01-01
18510,d008,1998-04-20,9999-01-01
18518,d005,1999-08-30,9999-01-01
18552,d004,1999-07-26,2001-08-21
18552,d006,2001-08-21,9999-01-01
18553,d008,1999-08-28,2002-05-13
18560,d004,1999-05-03,2001-10-20
18568,d008,1998-09-04,2001-10-12
18586,d008,1999-02-08,9999-01-01
18669,d005,1996-11-18,9999-01-01
18678,d008,1997-10-17,9999-01-01
18695,d003,1999-04-01,9999-01-01
18707,d007,1999-06-05,9999-01-01
18720,d009,1999-06-10,9999-01-01
18726,d004,1997-08-15,9999-01-01
18748,d005,1996-11-23,1997-12-27
18754,d005,1998-08-12,9999-01-01
18781,d005,1999-03-07,2002-06-28
18791,d008,1996-11-23,2001-07-06
18812,d007,1997-11-10,9999-01-01
18819,d009,1998-09-16,2001-07-06
18823,d004,1998-12-16,2000-02-10
18841,d003,1998-06-07,9999-01-01
18844,d004,1999-01-26,9999-01-01
18870,d007,1997-11-01,9999-01-01
18885,d007,1997-07-19,9999-01-01
18895,d004,1999-02-05,1999-10-12
18895,d005,1997-09-16,1999-02-05
18898,d001,1998-05-10,9999-01-01
18926,d003,1997-01-28,9999-01-01
18939,d003,1999-01-19,2000-03-24
18944,d005,2000-01-20,9999-01-01
18962,d004,1999-04-18,9999-01-01
18967,d004,1997-10-03,9999-01-01
18971,d007,1998-02-05,9999-01-01
18998,d008,1997-02-13,9999-01-01
19039,d006,1998-03-22,9999-01-01
19056,d005,1999-12-12,9999-01-01
19063,d007,1999-08-18,9999-01-01
19074,d005,1998-05-04,2001-01-02
19074,d006,1998-02-12,1998-05-04
19087,d003,1997-01-03,1999-12-16
19090,d004,1999-12-17,9999-01-01
19100,d007,1997-01-20,9999-01-01
19115,d005,1997-10-11,9999-01-01
19116,d005,1998-12-25,9999-01-01
19152,d007,1998-08-09,9999-01-01
19168,d007,1999-11-22,2001-01-13
19168,d009,2001-01-13,9999-01-01
19283,d004,1999-07-05,9999-01-01
19289,d005,1998-11-12,9999-01-01
19291,d005,1999-04-11,9999-01-01
19309,d006,1998-05-24,9999-01-01
19371,d004,1998-11-22,9999-01-01
19376,d009,1999-08-01,1999-11-13
19405,d009,1998-09-25,2002-03-05
19408,d004,1999-01-17,9999-01-01
19423,d004,2000-01-23,2000-10-08
19455,d004,1996-08-28,9999-01-01
19459,d008,1999-08-18,9999-01-01
19475,d009,1996-11-07,9999-01-01
19477,d008,1998-09-07,9999-01-01
19514,d005,1998-12-13,9999-01-01
19530,d009,1997-09-02,9999-01-01
19534,d009,1997-10-06,9999-01-01
19553,d008,1997-04-10,9999-01-01
19556,d005,1997-04-04,9999-01-01
19572,d004,1998-10-20,2002-07-30
19585,d001,1997-06-24,9999-01-01
19593,d004,2001-11-13,9999-01-01
19593,d009,1997-10-14,2001-11-13
19651,d004,1996-12-03,9999-01-01
19687,d001,1996-12-23,9999-01-01
19688,d004,1997-11-28,9999-01-01
19714,d005,1999-02-26,9999-01-01
19767,d004,1996-09-20,9999-01-01
19790,d002,1998-08-15,1998-09-19
19790,d003,1996-08-26,1998-08-15
19797,d001,1997-05-01,9999-01-01
19799,d004,1998-03-03,1998-06-25
19810,d008,1998-08-13,9999-01-01
19853,d006,1996-08-25,9999-01-01
19854,d005,1999-08-28,9999-01-01
19908,d005,1998-08-22,2000-07-28
19911,d007,1996-11-17,9999-01-01
19932,d004,1997-08-17,9999-01-01
19949,d004,1999-08-26,9999-01-01
19973,d005,1997-05-28,9999-01-01
20010,d009,1999-12-02,9999-01-01
20126,d007,1998-07-15,2001-12-03
20126,d009,2001-12-03,9999-01-01
20131,d007,1998-05-24,9999-01-01
20147,d005,1998-10-03,9999-01-01
20151,d004,1998-03-08,1999-05-31
20164,d006,1999-02-25,2000-12-15
20201,d004,1997-04-25,9999-01-01
20246,d008,1996-09-17,9999-01-01
20270,d002,1999-12-30,9999-01-01
20322,d003,1999-09-05,9999-01-01
20363,d003,1998-04-10,9999-01-01
20364,d004,1997-11-27,9999-01-01
20369,d004,1997-05-06,2001-05-30
20371,d005,1999-06-25,9999-01-01
20395,d004,1998-04-12,9999-01-01
20401,d003,1997-08-15,9999-01-01
20409,d005,1999-04-07,9999-01-01
20422,d006,1998-06-04,9999-01-01
20484,d004,1997-11-20,9999-01-01
20510,d005,1997-01-07,2002-04-11
20522,d006,1999-11-11,2000-12-14
20531,d004,1999-01-28,9999-01-01
20580,d004,1999-07-08,9999-01-01
20654,d008,1997-07-30,9999-01-01
20665,d005,1998-02-13,2002-01-30
20679,d004,1999-07-02,9999-01-01
20715,d005,1999-07-30,9999-01-01
20719,d007,1999-10-21,9999-01-01
20725,d005,1999-06-04,9999-01-01
20764,d004,1999-10-23,9999-01-01
20792,d008,1998-10-17,9999-01-01
20805,d005,1997-07-21,9999-01-01
20819,d001,1998-07-06,2001-06-17
20945,d004,1998-10-24,9999-01-01
20945,d005,1998-07-03,1998-10-24
21047,d008,1997-06-19,9999-01-01
21071,d006,1998-06-16,9999-01-01
21073,d002,1998-08-27,9999-01-01
21125,d001,2002-07-12,9999-01-01
21125,d003,1998-08-13,2002-07-12
21126,d004,1997-03-26,9999-01-01
21131,d004,1997-02-21,9999-01-01
21132,d007,1997-01-28,9999-01-01
21158,d005,1996-09-03,1998-07-20
21158,d008,1998-07-20,9999-01-01
21179,d005,1998-04-07,9999-01-01
21188,d005,2000-01-08,9999-01-01
21213,d004,1997-09-08,9999-01-01
21217,d003,1999-11-23,9999-01-01
21221,d009,1997-02-19,9999-01-01
21246,d004,1998-06-11,9999-01-01
21269,d004,1999-09-20,2000-10-28
21301,d005,1999-11-24,9999-01-01
21329,d004,2001-11-28,9999-01-01
21329,d008,1999-04-21,2001-11-28
21337,d006,1999-11-04,9999-01-01
21355,d004,1998-04-10,9999-01-01
21356,d004,1998-07-08,1998-11-30
21356,d006,1998-07-06,1998-07-08
21368,d003,1997-11-29,9999-01-01
21411,d004,1996-12-23,2000-02-03
21411,d009,2000-02-03,9999-01-01
21415,d005,1999-07-04,2001-10-12
21429,d004,1999-11-03,9999-01-01
21435,d005,1997-04-20,9999-01-01
21440,d008,1999-08-20,9999-01-01
21455,d007,1999-11-16,9999-01-01
21477,d007,1997-06-09,9999-01-01
21519,d007,1996-10-04,9999-01-01
21526,d005,1999-01-27,1999-11-12
21526,d008,1999-11-12,9999-01-01
21532,d007,1996-09-13,9999-01-01
21549,d005,1997-07-24,2000-08-04
21556,d004,1998-09-07,9999-01-01
21572,d005,1999-08-18,2001-06-17
21574,d003,1999-01-08,2002-06-14
21637,d001,2000-01-14,9999-01-01
21676,d002,1997-08-20,2001-09-10
21711,d007,1998-09-15,2001-08-25
21711,d009,2001-08-25,9999-01-01
21759,d005,1998-08-18,9999-01-01
21769,d007,1996-09-22,9999-01-01
21778,d009,1999-10-22,9999-01-01
21781,d004,1997-12-10,2002-05-25
21799,d004,1997-04-23,9999-01-01
21841,d009,1997-07-04,9999-01-01
21852,d004,1999-11-12,9999-01-01
21852,d005,1996-11-29,1999-11-12
21867,d004,1997-05-25,9999-01-01
21885,d006,1997-05-05,9999-01-01
21898,d007,1998-10-04,9999-01-01
21910,d007,1997-02-24,9999-01-01
21945,d005,1999-04-13,1999-08-05
21945,d008,1999-08-05,9999-01-01
21951,d007,1997-01-15,9999-01-01
22001,d004,1997-04-30,9999-01-01
22003,d005,1997-12-27,9999-01-01
22004,d001,1999-02-09,9999-01-01
22006,d005,1998-09-17,1999-09-01
22006,d008,1999-09-01,9999-01-01
22016,d007,2000-01-15,2001-04-28
22063,d004,1998-01-07,9999-01-01
22067,d007,1997-04-11,9999-01-01
22084,d005,1996-12-05,9999-01-01
22094,d001,1999-06-20,9999-01-01
22098,d005,1999-02-16,9999-01-01
22105,d004,1999-02-07,9999-01-01
22106,d006,1999-06-23,9999-01-01
22110,d005,1998-05-19,1999-12-12
22110,d008,1999-12-12,9999-01-01
22138,d004,2001-12-14,9999-01-01
22138,d005,1999-06-02,2001-12-14
22153,d001,1998-01-30,1999-11-20
22156,d005,1996-09-22,1998-10-17
